,Bal,Brick,District,Floor,ID,Kitsp,Lift,Link,Livesp,Metrdist,New,Nfloor,Price,Remont,Tel,Totsp,Walk,dist,lat,lon,rooms
2038,1,0,2,8,2038,8.0,1,http://www.cian.ru/sale/flat/150328195/,19.0,7.0,0,17.0,6500000,косметический,1.0,39.0,1.0,9.38399719013316,55.892294,37.653514,1
2039,1,0,2,6,2039,6.0,1,http://www.cian.ru/sale/flat/151141982/,22.0,5.0,0,9.0,6500000,евроремонт,1.0,35.0,0.0,5.431318858581195,55.829178,37.597297,1
2040,1,0,2,6,2040,6.0,1,http://www.cian.ru/sale/flat/151143191/,22.0,20.0,0,9.0,6500000,евроремонт,1.0,35.0,1.0,5.431318858581195,55.829178,37.597297,1
2041,1,0,2,6,2041,6.0,1,http://www.cian.ru/sale/flat/151142996/,22.0,20.0,0,9.0,6500000,евроремонт,1.0,35.0,1.0,5.431318858581195,55.829178,37.597297,1
2042,1,0,2,4,2042,6.0,1,http://www.cian.ru/sale/flat/150436981/,23.0,7.0,0,9.0,6500000,косметический,1.0,38.0,0.0,11.065871348374616,55.874157,37.694028,2
2043,1,0,2,2,2043,6.0,–,http://www.cian.ru/sale/flat/151033056/,28.0,10.0,0,5.0,6500000,косметический,,45.0,1.0,5.906380692182765,55.828774,37.589195,2
2044,1,0,2,28,2044,8.0,1,http://www.cian.ru/sale/flat/149412471/,15.0,10.0,1,46.0,6361182,,,30.3,1.0,4.646620996523021,55.804072,37.590693,1
2045,1,0,2,6,2045,,1,http://www.cian.ru/sale/flat/40491797/,27.1,3.0,1,17.0,5873280,,,35.7,1.0,9.003390591305983,55.869347,37.669356,2
2046,1,0,2,8,2046,10.0,1,http://www.cian.ru/sale/flat/150542135/,20.0,15.0,0,14.0,6499000,евроремонт,,40.0,1.0,7.474922303733359,55.873137,37.622118,1
2047,1,0,2,3,2047,6.0,–,http://www.cian.ru/sale/flat/146320387/,29.0,10.0,0,5.0,6500000,косметический,1.0,43.0,1.0,8.487492128391226,55.861272,37.667662,2
2048,0,0,2,11,2048,17.3,1,http://www.cian.ru/sale/flat/149047208/,11.3,10.0,1,18.0,6530448,,,36.0,1.0,6.079572230306531,55.850616,37.618053,1
2049,1,0,2,25,2049,11.0,1,http://www.cian.ru/sale/flat/148148777/,18.0,15.0,0,25.0,6540000,косметический,0.0,39.0,1.0,8.342431299784437,55.874016,37.588979,1
2050,1,0,2,13,2050,10.0,1,http://www.cian.ru/sale/flat/150822076/,20.0,10.0,0,22.0,6550000,косметический,,38.0,0.0,7.821313300160719,55.878208,37.627463,1
2051,0,0,2,7,2051,17.3,1,http://www.cian.ru/sale/flat/151097693/,11.3,10.0,1,18.0,6553890,,,36.1,1.0,6.079572230306531,55.850616,37.618053,1
2052,1,0,2,4,2052,7.0,1,http://www.cian.ru/sale/flat/148506810/,25.0,14.0,0,12.0,6590000,косметический,0.0,40.0,1.0,6.53636743567383,55.827358,37.579699,2
2053,1,0,2,9,2053,9.0,1,http://www.cian.ru/sale/flat/150533753/,21.0,2.0,0,12.0,6600000,косметический,1.0,41.0,1.0,8.922045569038529,55.87139,37.666486,1
2054,1,0,2,4,2054,7.0,1,http://www.cian.ru/sale/flat/150571386/,27.0,7.0,0,9.0,6600000,косметический,,44.0,1.0,6.732928541395385,55.861226,37.619854,2
2055,1,0,2,2,2055,6.0,–,http://www.cian.ru/sale/flat/40822607/,26.0,20.0,0,5.0,6600000,косметический,1.0,42.0,1.0,5.778923211432612,55.836115,37.644549,2
